"Points:0","Points:1","Points:2"
-1.2789,4.5077,0
-1.1622,5.3281,0
-1.4755,3.1681,0
-0.59606,-4.1805,0
-2.2613,1.7123,0
-1.3433,5.2758,0
-2.205,2.6759,0
-1.2572,5.4778,0
-0.82429,4.9599,0
-2.0238,-2.8864,0
-4.4631,4.3662,0
-4.56,4.9466,0
-1.7579,3.6472,0
-2.8336,4.2998,0
-1.8939,-2.803,0
-0.33863,5.6911,0
-2.4292,1.4658,0
-2.5702,-3.6131,0
1.4016,5.5821,0
-3.3242,3.4251,0
0.29364,4.6907,0
-2.069,3.1653,0
-1.5544,-2.5674,0
-4.2136,4.2056,0
-0.56791,0.30037,0
-5.8254,-3.375,0
0.6013,5.8175,0
1.4914,-4.3359,0
-3.1759,3.7268,0
-3.0463,4.9596,0
0.50353,-3.8439,0
-4.1885,2.6649,0
-3.9546,2.9143,0
1.8072,-4.4273,0
-5.6292,-3.4976,0
-3.9174,4.0339,0
1.3368,5.8203,0
0.078181,5.111,0
3.0875,-4.4764,0
0.8639,5.1808,0
-1.8944,2.5431,0
1.8133,5.5815,0
-3.8897,4.1942,0
2.3426,2.8644,0
-5.0184,-2.8479,0
1.2103,-2.0546,0
2.9187,5.2469,0
2.7483,5.1697,0
3.5041,-4.5423,0
3.2704,5.0958,0
-5.6681,-2.5957,0
5.0166,-2.5231,0
1.9513,-4.2918,0
3.9578,4.6087,0
3.4285,-4.1216,0
5.3445,0.4119,0
6.855,1.1179,0
-5.7739,-2.5296,0
-5.672,-0.335,0
-3.6816,1.3815,0
3.2899,-3.7966,0
-5.564,3.4382,0
4.4978,3.7111,0
4.9859,-4.3351,0
-6.0679,4.156,0
4.8242,4.229,0
3.7211,-3.7591,0
-3.7039,1.8077,0
4.6726,1.0314,0
-5.8814,4.1035,0
4.5094,-3.5849,0
5.3032,-3.4939,0
-5.8152,4.3664,0
5.2732,4.061,0
-5.4764,2.8558,0
5.824,-4.6937,0
-6.2461,3.4982,0
-4.5754,2.1433,0
6.0138,-3.5461,0
-4.1217,2.0203,0
5.4199,3.7145,0
6.8838,2.4935,0
-5.3891,-3.0184,0
6.8113,1.8756,0
-3.973,2.4242,0
6.9246,2.3205,0
-5.2646,4.4809,0
-0.8586,1.8779,0
5.2647,2.5972,0
-3.9699,3.2823,0
-6.1027,3.3989,0
6.4904,1.4777,0
6.1158,1.6674,0
5.2223,3.4057,0
-5.4575,-1.9546,0
5.6095,-4.4232,0
-3.5032,3.405,0
6.0245,3.372,0
-4.0166,-3.7314,0
6.2222,3.5639,0
-6.4422,-0.70354,0
1.4307,-3.647,0
6.8228,2.7028,0
-6.1293,3.2075,0
6.9358,0.061762,0
